ice1_nam.dat 
North American component of ICE1
Authors: Peltier and Andrews, GJRAS, 1976. 
89   number of elements 
20   header lines 
1    lines for each element 
18   time since the LGM (kyrs)
1    lenght of each time step 
5    size of the 'rectangular' elements (deg)
---------------
For each ice element, the data are presented in one line, with the following meaning: 
colatitude and longitude of the centroid of the ('rectangular') elements (deg), and 
disc element thickness (m) at various times (as integers). The first value is 
thickness before the beginning of deglaciation (i.e. from -infinity to 18 kyrs BP), 
the 18 elements that follow are ice thickness at 1 kyrs intervals up to present time. 
File SH1.F of SELEN reads this file and indicates with h_0 ice thickness 
before melting begins, h_1 between 18 and 17 kyrs BP, ..., and with h_18 ice thickness 
between 1 and 0 kyrs BP. With h_19=h_18 SELEN denotes the ice (constant) thickness in 
the future. GS July 28 2007.  
---------------  
 40 270 2000 2200 2200 2200 2200 900 900 300 300 0 0 0 0 0 0 0 0 0 0
 40 275 2400 2700 2700 2700 2700 1600 1600 900 900 0 0 0 0 0 0 0 0 0 0
 40 280 2800 2850 2850 2850 2850 1850 1850 1300 1300 300 300 0 0 0 0 0 0 0 0
 40 285 2800 2850 2850 2850 2850 2100 2100 1200 1200 0 0 0 0 0 0 0 0 0 0
 40 290 2600 2950 2950 2950 2950 900 900 700 700 0 0 0 0 0 0 0 0 0 0
 40 295 1800 1500 1500 1500 1500 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 40 300 1700 1300 1300 1300 1300 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 40 305 0 600 600 600 600 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 45 265 1200 1000 1000 1000 1000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 45 270 0 200 200 200 200 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 45 280 1900 1400 1400 1400 1400 900 900 0 0 0 0 0 0 0 0 0 0 0 0
 45 285 1900 1400 1400 1400 1400 200 200 0 0 0 0 0 0 0 0 0 0 0 0
 45 290 1700 1200 1200 1200 1200 800 800 0 0 0 0 0 0 0 0 0 0 0 0
 45 295 1200 900 900 900 900 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 50 275 300 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 50 280 300 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
