 PMTF-REV.dat 2019.06.26 12.20.24
 
 PMTF (un-primed): 
   1.4366450066699177      A_e (elastic)
   0.0000000000000000      A_s (secular)
           4  -4.6505050860730200E-006  -2.6718871642294252E-005
           5  -6.5817574662104266E-006  -6.1845832036992434E-005
           6  -6.7462064143462323E-005  -1.9987801485506194E-004
           7  -7.4526577259781737E-004  -6.8268447899728023E-004
           8  -3.5501167097721224E-003  -3.1624768164146000E-003
           9   5.4505671347937663E-002  -2.6658314646701351E-002
          10  -2.8916948840996847E-003 -0.10518285182120286     
          11  0.54697996558413953      -0.66941436235911989     
          12  -1.6886147186253807E-039  -2.0976352516676497     
          13   1.3054335075828539E-003  -2.1077300859843842     
          14   2.3245109812228830E-003  -2.1434271912403013     
          15   1.4644313605137200E-038  -2.4139906319177200     
          16   1.8192187117312248E-003  -2.4323909876001251     
          17   3.6016070476714407E-003  -2.5206011639459383     
          18  -6.3333272314530080E-037  -3.0177470172346061     
          19   1.7264802242413268E-003  -3.0710377401675570     
          20   2.0973743783691810E-003  -3.1285398162038858     
          21   2.1487079903772357E-032  -3.3518220303376167     
          22   6.9262166410529256E-006  -3.3580144931691520     
          23   8.5627777061496450E-032  -3.3601455734050405     
          24   1.1968210523991810E-004  -3.3946333632819505     
          25   1.2879474435874391E-003  -3.4385894997388613     
          26   2.5566032414160362E-003  -3.5461391319541562     
          27   1.1209663480263204E-036  -3.6691229417455355     
          28   1.9373667499040727E-003  -3.7768113440992486     
          29   3.0095905361815587E-003  -3.8900250887689474     
          30  -3.2939643356499099E-039  -4.0300078029260993     
          31   1.8636271233688103E-003  -4.1809705695948427     
          32   2.2395309869455279E-003  -4.2859087896144539     
          33   2.7233388875138843E-042  -4.4086358879067777     
          34   1.2689024252372746E-003  -5.0490330999159783     
          35   3.7737843150287922E-003  -5.2988341391396681     
          36   1.4427046286563426E-047  -5.3734380782038942     
 
 Doubly primed B^^ terms for G: 
           1   7.2908751664653135E-010  -5.5351146329545382E-007 i, G_i^^, s_i (i=1,...,M)
           2   1.1821405173115630E-009  -8.3687424343636944E-006
           3   2.3752390040059240E-008  -1.6116076908127198E-005
           4   6.3037804630827909E-008  -2.6849585242768598E-005
           5   8.8956178453617076E-008  -6.2037298326730008E-005
           6   9.1897340046892641E-007  -2.0261560013307253E-004
           7   1.1266374925094987E-005  -7.2282442740708417E-004
           8   1.5450619981187996E-004  -4.2415568845499642E-003
           9   1.8644390256364167E-003  -8.3035989249222494E-002
          10   8.5412269130144991E-002 -0.28202991300920732     
          11  0.43404442670530996       -1.4459459131161470     
          12   4.9939843127658488E-056  -2.0976352516676497     
          13   5.7931294187566615E-003  -2.1129081730756991     
          14   3.5946325402001892E-003  -2.1471030646859459     
          15  -1.6054124449589686E-052  -2.4139906319177200     
          16   6.3833091454293537E-003  -2.4387214409039406     
          17   2.2454802927610266E-003  -2.5243825560383653     
          18   7.2875559824498728E-047  -3.0177470172346061     
          19   4.1212473765718976E-003  -3.0760515590487381     
          20   1.5032502967306585E-003  -3.1310340126938718     
          21  -1.6145735455530961E-040  -3.3518220303376167     
          22   1.1965755683354252E-005  -3.3580306698065336     
          23  -7.0842284160504339E-040  -3.3601455734050405     
          24   2.5227871067041644E-004  -3.3949705371404830     
          25   3.4724831573476138E-003  -3.4428065405339008     
          26   1.4521785001620029E-003  -3.5489195555863224     
          27  -2.5251989829663035E-043  -3.6691229417455355     
          28   3.6878231141974156E-003  -3.7816764144396622     
          29   1.6339174358154117E-003  -3.8932467808741498     
          30   1.3212542158355962E-044  -4.0300078029260993     
          31   2.8555457947714948E-003  -4.1849794630099399     
          32   1.0346066872485701E-003  -4.2881407686678763     
          33   2.2409194108968436E-046  -4.4086358879067777     
          34  -3.1666827352514154E-004  -5.0493000942840958     
          35   5.1990497929252175E-003  -5.3066646436549592     
          36  -6.0083165432114880E-050  -5.3734380782038942     
 
 B^ terms for U: 
  0.57603430251681464      U_e^ (elastic, primed)
   0.0000000000000000      U_s^ (secular, primed)
           1  -7.9099548577786851E-008  -5.5260973879170547E-007 i, U_i^, a_i (i=1,...,M)
           2  -1.1815094371521627E-007  -8.3667596605195944E-006
           3  -2.2984397403142903E-006  -1.6071008669053610E-005
           4  -5.7849721480703578E-006  -2.6718871642294252E-005
           5  -8.1246943381409098E-006  -6.1845832036992434E-005
           6  -7.8615284765246328E-005  -1.9987801485506194E-004
           7  -8.3970694043031529E-004  -6.8268447899728023E-004
           8  -3.6561658566449684E-003  -3.1624768164146000E-003
           9   5.3122480575434033E-002  -2.6658314646701351E-002
          10  -2.9044956887284970E-003 -0.10518285182120286     
          11  0.43695023410033146      -0.66941436235911989     
          12  -7.5954339696277408E-044  -2.0976352516676497     
          13   1.1784307072747681E-003  -2.1077300859843842     
          14   1.6171728544447804E-003  -2.1434271912403013     
          15   1.0849690674295360E-042  -2.4139906319177200     
          16   1.6379264251272533E-003  -2.4323909876001251     
          17   2.3306267351837647E-003  -2.5206011639459383     
          18   3.4726857995250101E-039  -3.0177470172346061     
          19   1.5616183054111047E-003  -3.0710377401675570     
          20   1.5489133379784630E-003  -3.1285398162038858     
          21   4.0070520212881788E-036  -3.3518220303376167     
          22   6.1511700265605994E-006  -3.3580144931691520     
          23   4.0212180050015877E-035  -3.3601455734050405     
          24   1.0908817155012157E-004  -3.3946333632819505     
          25   1.1819269440678218E-003  -3.4385894997388613     
          26   1.9062663581016022E-003  -3.5461391319541562     
          27   2.8987172014608346E-039  -3.6691229417455355     
          28   1.7363382128857856E-003  -3.7768113440992486     
          29   2.2448446318356673E-003  -3.8900250887689474     
          30  -3.5941169601909145E-041  -4.0300078029260993     
          31   1.6431510607731259E-003  -4.1809705695948427     
          32   1.6434164961244883E-003  -4.2859087896144539     
          33   6.2577570477832258E-044  -4.4086358879067777     
          34  -1.3527223303911860E-004  -5.0490330999159783     
          35   3.3445523753307099E-003  -5.2988341391396681     
          36   3.4352900190132092E-050  -5.3734380782038942     
 
 Doubly primed B^^ terms for U: 
           1   2.5757131474190209E-008  -5.5351146329545382E-007 i, U_i^^, s_i (i=1,...,M)
           2   3.1321869553886433E-008  -8.3687424343636944E-006
           3   5.6006992730624837E-007  -1.6116076908127198E-005
           4   1.3500326490864047E-006  -2.6849585242768598E-005
           5   1.8481067416369990E-006  -6.2037298326730008E-005
           6   1.4275811052572164E-005  -2.0261560013307253E-004
           7   1.4665448334588106E-004  -7.2282442740708417E-004
           8   8.9518691713372993E-004  -4.2415568845499642E-003
           9   3.9176441625194333E-003  -8.3035989249222494E-002
          10  0.24119511096189963      -0.28202991300920732     
          11  0.76760425785892072       -1.4459459131161470     
          12   2.2463074421053832E-060  -2.0976352516676497     
          13   1.0769979621956929E-002  -2.1129081730756991     
          14   5.7558383961454108E-003  -2.1471030646859459     
          15  -1.1894192450480395E-056  -2.4139906319177200     
          16   1.1808783073589811E-002  -2.4387214409039406     
          17   3.2954389625610364E-003  -2.5243825560383653     
          18  -3.9959078772708742E-049  -3.0177470172346061     
          19   7.6868009627861257E-003  -3.0760515590487381     
          20   2.3529220342583777E-003  -3.1310340126938718     
          21  -3.0109629685377184E-044  -3.3518220303376167     
          22   2.1795379114956832E-005  -3.3580306698065336     
          23  -3.3268674997491560E-043  -3.3601455734050405     
          24   4.7215340350043332E-004  -3.3949705371404830     
          25   6.5609796724171669E-003  -3.4428065405339008     
          26   2.2494984231645554E-003  -3.5489195555863224     
          27  -6.5299353026286924E-046  -3.6691229417455355     
          28   6.8096855810847153E-003  -3.7816764144396622     
          29   2.5199166907934108E-003  -3.8932467808741498     
          30   1.4416495450372025E-046  -4.0300078029260993     
          31   5.1790686775910763E-003  -4.1849794630099399     
          32   1.5599306808506358E-003  -4.2881407686678763     
          33   5.1492413600628184E-048  -4.4086358879067777     
          34   1.5152315338934504E-004  -5.0493000942840958     
          35   9.4465480864173879E-003  -5.3066646436549592     
          36  -1.4306677501401978E-052  -5.3734380782038942     
