 -----------------------------------------------------------------
 PMTF.dat 2021.03.19 13.26.44
 Model: MODELS/PREM_LT60_NV5_VM5a.dat                                                                       
 MP:       128
 -----------------------------------------------------------------
 
 PMTF:
   1.4564894598821918      A_e (elastic)
          15  -9.0277575962143443E-006  -4.6385030400947755     
          16   9.2675752263267806E-124  -4.6625722847999995     
          17  -5.9397487886359100E-003  -6.6391640182562641     
          18   2.3142187385990797E-003  -6.8896624824239190     
          19   1.2491873677359189E-123  -6.9982133759999989     
 
 V^^ terms:
           1  -4.9438681331261373E-012  -7.0796799643959446E-009 i, V_i^^, s_i (i=1,...,M)
           2  -9.2953677033401075E-007  -4.2016890871014442E-005
           3  -5.9799373744477384E-005  -4.3161985459878318E-004
           4  -1.4087365822802696E-003  -3.3851453236339096E-003
           5   1.6223131756596427E-003  -4.8647741014271835E-002
           6   8.9782896634066217E-002 -0.15321168958783563     
           7   6.6270516741814237E-006 -0.21249703290512004     
           8   1.9704055810612514E-145 -0.21284338895999999     
           9  0.17034339078309874      -0.34238093506479317     
          10   7.1900349780209274E-002  -1.0338761466230988     
          11   5.7980011567503656E-131  -2.3884120421052630     
          12  -1.4586991715812788E-003  -3.2424908394305967     
          13   5.1763531868854523E-003  -3.5466895936714442     
          14  -1.4339063848352707E-126  -3.6825910165605094     
          15   3.1945226604313627E-004  -4.5864888725691966     
          16   8.5825126868463745E-004  -4.6399338217624546     
          17  -1.0501061058468485E-124  -4.6625722847999995     
          18  -3.5388297731666268E-004  -6.6444429963182952     
          19   5.8161827729670459E-003  -6.9121304866377491     
          20  -1.4359229391305588E-123  -6.9982133759999989     
