 -----------------------------------------------------------------
 PMTF-REV.dat 2021.03.19 13.26.45
 Model: MODELS/PREM_LT60_NV5_VM5a.dat                                                                       
 MP:       128
 -----------------------------------------------------------------
 
 PMTF:
   1.4459380042567671      A_e (elastic)
          17  -4.3399149357374876E-121  -4.6625722847999995     
          18   2.0611080777558678E-004  -6.6444429963182952     
          19   1.3722573837037018E-002  -6.9121304866377491     
          20   1.3880534727636243E-122  -6.9982133759999989     
 
 U^ terms:
  0.58787753141902299      U_e^ (elastic, primed)
   0.0000000000000000      U_s^ (secular, primed)
           1  -1.1453445641522611E-009  -7.0728328627364526E-009 i, U_i^, a_i (i=1,...,M)
           2  -1.3319329927325461E-005  -4.1693244382607509E-005
           3  -5.9678563726220911E-004  -4.1423751261788735E-004
           4  -6.2261344455176899E-003  -2.2109304843859331E-003
           5   4.1895125347416830E-002  -1.3045377426510482E-002
           6  -1.5298565320662864E-002  -5.4829577285486548E-002
           7   2.0937819818779820E-003 -0.21164887278222660     
           8  -2.3715033735205691E-119 -0.21284338895999999     
           9   4.4334523854764545E-002 -0.26704961836101071     
          10  0.26362349853258593      -0.52341658172980066     
          11  -1.3753849178230044E-123  -2.3884120421052630     
          12   8.1901239991821646E-003  -3.2339597247607945     
          13   7.3613517036636485E-003  -3.5270185417797086     
          14   2.9688050883539274E-123  -3.6825910165605094     
          15   6.6327626392381090E-003  -4.5768635622740517     
          16  -7.2638615435027164E-005  -4.6385260874584811     
          17   4.1784169582164005E-125  -4.6625722847999995     
          18   6.4087540228250015E-003  -6.6392800963552920     
          19   8.9601123178312623E-003  -6.8901099935218575     
          20   8.1614940483684970E-127  -6.9982133759999998     
 
 U^^ terms:
           1   3.8604025543397523E-010  -7.0796799643959446E-009 i, U_i^^, s_i (i=1,...,M)
           2   2.0016197924068247E-006  -4.2016890871014442E-005
           3   8.0566653580449433E-005  -4.3161985459878318E-004
           4   1.0877164338875859E-003  -3.3851453236339096E-003
           5  -5.9174258250562346E-005  -4.8647741014271835E-002
           6  0.10845287521746280      -0.15321168958783563     
           7   2.6799111982395012E-005 -0.21249703290512004     
           8   7.6266406806964507E-147 -0.21284338895999999     
           9  0.10443621373721208      -0.34238093506479317     
          10  0.53388483019388100       -1.0338761466230988     
          11   4.8376756144492085E-131  -2.3884120421052630     
          12   3.1590252578054720E-003  -3.2424908394305967     
          13   2.5014301915223185E-002  -3.5466895936714442     
          14  -1.4024704682360236E-126  -3.6825910165605094     
          15   7.5989158245776461E-003  -4.5864888725691966     
          16   2.7470817483923435E-003  -4.6399338217624546     
          17  -1.0088854778020914E-125  -4.6625722847999995     
          18   2.1849315454258784E-004  -6.6444429963182952     
          19   2.5383743250482753E-002  -6.9121304866377491     
          20   8.2750090336744900E-126  -6.9982133759999989     
 
 V^ terms:
  0.11959225660735534      V_e^ (elastic, primed)
   0.0000000000000000      V_s^ (secular, primed)
           1  -2.0208898141157131E-010  -7.0728328627364526E-009 i, V_i^, a_i (i=1,...,M-1)
           2  -2.1876337262216136E-006  -4.1693244382607509E-005
           3  -8.6056798163817609E-005  -4.1423751261788735E-004
           4  -1.2483693669623152E-003  -2.2109304843859331E-003
           5   1.2650766731875608E-002  -1.3045377426510482E-002
           6  -2.2319477397698448E-002  -5.4829577285486548E-002
           7   4.9633054086399943E-004 -0.21164887278222660     
           8  -6.3244642086177148E-118 -0.21284338895999999     
           9   2.9540213723274721E-002 -0.26704961836101071     
          10  -6.4404590634351847E-002 -0.52341658172980066     
          11  -2.3210743768746402E-123  -2.3884120421052630     
          12  -2.8494751689291820E-003  -3.2339597247607945     
          13   1.5513383310315672E-003  -3.5270185417797086     
          14   6.3772275828267716E-123  -3.6825910165605094     
          15   4.6619081090563361E-004  -4.5768635622740517     
          16  -2.3845225465727122E-005  -4.6385260874584811     
          17   6.9745672818113820E-124  -4.6625722847999995     
          18  -5.9075641000013992E-003  -6.6392800963552920     
          19   2.1435911344645396E-003  -6.8901099935218575     
          20   5.5978711400795127E-124  -6.9982133759999998     
 
 V^^ terms:
